-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         4.28%     210.899ms        12.75%     627.550ms      20.739us     225.714ms        32.89%     228.342ms       7.546us         30260  
                                           aten::linear         1.06%      51.999ms        20.25%     996.646ms     118.086us       0.000us         0.00%     204.850ms      24.271us          8440  
                                               aten::mm         6.48%     318.944ms        10.37%     510.343ms      40.311us     193.999ms        28.27%     193.999ms      15.324us         12660  
                                               aten::to         1.15%      56.722ms        17.10%     841.637ms      34.778us       0.000us         0.00%     192.495ms       7.954us         24200  
                                         aten::_to_copy         3.53%     173.843ms        15.93%     784.098ms      34.151us       0.000us         0.00%     192.495ms       8.384us         22960  
       autograd::engine::evaluate_function: MmBackward0         1.00%      49.347ms        10.57%     520.222ms     123.275us       0.000us         0.00%     129.138ms      30.601us          4220  
                                            MmBackward0         1.31%      64.588ms         9.57%     470.876ms     111.582us       0.000us         0.00%     129.138ms      30.601us          4220  
autograd::engine::evaluate_function: ToCopyBackward0...         1.94%      95.677ms        10.26%     505.057ms      52.283us       0.000us         0.00%     100.654ms      10.420us          9660  
                                        ToCopyBackward0         0.53%      26.323ms         7.61%     374.445ms      38.762us       0.000us         0.00%      96.350ms       9.974us          9660  
_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_23...         0.00%       0.000us         0.00%       0.000us       0.000us      95.611ms        13.93%      95.611ms       9.898us          9660  
_ZN2at6native29vectorized_elementwise_kernelILi8EZNS...         0.00%       0.000us         0.00%       0.000us       0.000us      94.225ms        13.73%      94.225ms       7.106us         13260  
                                           aten::matmul         1.45%      71.341ms        11.96%     588.905ms      88.959us       0.000us         0.00%      84.989ms      12.838us          6620  
                                              aten::mul         5.38%     264.967ms        10.64%     523.682ms      25.397us      68.702ms        10.01%      68.702ms       3.332us         20620  
                                             aten::add_         1.15%      56.585ms         3.01%     148.087ms      18.841us      64.288ms         9.37%      64.288ms       8.179us          7860  
      autograd::engine::evaluate_function: MulBackward0         2.50%     123.010ms        13.36%     657.704ms      98.754us       0.000us         0.00%      64.158ms       9.633us          6660  
_ZN2at6native29vectorized_elementwise_kernelILi4ENS0...         0.00%       0.000us         0.00%       0.000us       0.000us      60.995ms         8.89%      60.995ms      11.171us          5460  
autograd::engine::evaluate_function: EmbeddingBackwa...         0.01%     282.300us         0.04%       2.039ms     101.935us       0.000us         0.00%      54.061ms       2.703ms            20  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      53.750ms         7.83%      53.750ms      17.798us          3020  
