-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         3.78%      83.933ms        12.20%     270.809ms      10.392us     203.008ms        31.87%     203.008ms       7.790us         26060  
                                           aten::linear         1.21%      26.927ms        21.68%     481.326ms      57.029us       0.000us         0.00%     201.291ms      23.850us          8440  
                                               aten::mm         7.46%     165.524ms        12.03%     266.966ms      21.087us     191.958ms        30.13%     191.958ms      15.163us         12660  
                                               aten::to         1.23%      27.404ms        17.18%     381.415ms      17.496us       0.000us         0.00%     171.775ms       7.880us         21800  
                                         aten::_to_copy         3.58%      79.451ms        15.91%     353.302ms      17.184us       0.000us         0.00%     171.775ms       8.355us         20560  
       autograd::engine::evaluate_function: MmBackward0         1.15%      25.584ms        12.49%     277.203ms      65.688us       0.000us         0.00%     128.199ms      30.379us          4220  
                                            MmBackward0         1.50%      33.336ms        11.33%     251.619ms      59.625us       0.000us         0.00%     128.199ms      30.379us          4220  
_ZN2at6native29vectorized_elementwise_kernelILi8EZNS...         0.00%       0.000us         0.00%       0.000us       0.000us      91.015ms        14.29%      91.015ms       7.547us         12060  
autograd::engine::evaluate_function: ToCopyBackward0...         1.65%      36.529ms        10.41%     231.147ms      27.322us       0.000us         0.00%      84.355ms       9.971us          8460  
_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_23...         0.00%       0.000us         0.00%       0.000us       0.000us      80.731ms        12.67%      80.731ms       9.543us          8460  
                                        ToCopyBackward0         0.61%      13.517ms         7.91%     175.503ms      20.745us       0.000us         0.00%      80.412ms       9.505us          8460  
                                             aten::add_         1.23%      27.304ms         3.45%      76.491ms       9.732us      64.723ms        10.16%      64.723ms       8.234us          7860  
      autograd::engine::evaluate_function: MulBackward0         2.63%      58.463ms        14.90%     330.860ms      49.679us       0.000us         0.00%      64.134ms       9.630us          6660  
                                           aten::matmul         0.87%      19.413ms         6.10%     135.492ms      32.107us       0.000us         0.00%      63.759ms      15.109us          4220  
_ZN2at6native29vectorized_elementwise_kernelILi4ENS0...         0.00%       0.000us         0.00%       0.000us       0.000us      60.684ms         9.53%      60.684ms      11.114us          5460  
                                              aten::mul         5.34%     118.538ms        11.28%     250.305ms      12.503us      59.296ms         9.31%      59.296ms       2.962us         20020  
autograd::engine::evaluate_function: EmbeddingBackwa...         0.01%     147.800us         0.06%       1.247ms      62.335us       0.000us         0.00%      58.321ms       2.916ms            20  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      53.432ms         8.39%      53.432ms      17.693us          3020  
